,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Makecodif,Modelcodif,Vehicle Classcodif
0,ACURA,ILX,COMPACT,2.0,4,9.9,6.7,8.5,0,1057,0
1,ACURA,ILX,COMPACT,2.4,4,11.2,7.7,9.6,0,1057,0
2,ACURA,ILX HYBRID,COMPACT,1.5,4,6.0,5.8,5.9,0,1058,0
3,ACURA,MDX 4WD,SUV - SMALL,3.5,6,12.7,9.1,11.1,0,1233,11
4,ACURA,RDX AWD,SUV - SMALL,3.5,6,12.1,8.7,10.6,0,1499,11
5,ACURA,RLX,MID-SIZE,3.5,6,11.9,7.7,10.0,0,1510,2
6,ACURA,TL,MID-SIZE,3.5,6,11.8,8.1,10.1,0,1778,2
7,ACURA,TL AWD,MID-SIZE,3.7,6,12.8,9.0,11.1,0,1779,2
8,ACURA,TL AWD,MID-SIZE,3.7,6,13.4,9.5,11.6,0,1779,2
9,ACURA,TSX,COMPACT,2.4,4,10.6,7.5,9.2,0,1803,0
10,ACURA,TSX,COMPACT,2.4,4,11.2,8.1,9.8,0,1803,0
11,ACURA,TSX,COMPACT,3.5,6,12.1,8.3,10.4,0,1803,0
12,ALFA ROMEO,4C,TWO-SEATER,1.8,4,9.7,6.9,8.4,1,113,13
13,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,18.0,12.6,15.6,2,708,3
14,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,18.0,12.6,15.6,2,1484,10
15,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,17.4,11.3,14.7,2,1866,13
16,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,18.1,12.2,15.4,2,1866,13
17,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,17.4,11.3,14.7,2,1867,13
18,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,18.1,12.2,15.4,2,1867,13
19,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,18.0,12.6,15.6,2,1872,3
20,AUDI,A4,COMPACT,2.0,4,9.9,7.4,8.8,3,234,0
21,AUDI,A4 QUATTRO,COMPACT,2.0,4,11.5,8.1,10.0,3,236,0
22,AUDI,A4 QUATTRO,COMPACT,2.0,4,10.8,7.5,9.3,3,236,0
23,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,11.5,8.1,10.0,3,240,10
24,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,11.5,8.1,10.0,3,242,10
25,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,10.8,7.5,9.3,3,242,10
26,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,12.0,8.1,10.2,3,246,2
27,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,12.8,8.6,10.9,3,246,2
28,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,9.8,6.2,8.1,3,247,2
29,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,13.3,8.5,11.2,3,250,2
30,AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,9.8,6.2,8.1,3,251,2
31,AUDI,A8,MID-SIZE,3.0,6,13.1,8.8,11.2,3,253,2
32,AUDI,A8,MID-SIZE,4.0,8,13.7,8.3,11.3,3,253,2
33,AUDI,A8 TDI (modified),MID-SIZE,3.0,6,9.8,6.5,8.4,3,256,2
34,AUDI,A8L,FULL-SIZE,3.0,6,13.1,8.8,11.2,3,257,1
35,AUDI,A8L,FULL-SIZE,4.0,8,14.7,9.7,12.5,3,257,1
36,AUDI,A8L,FULL-SIZE,6.3,12,18.7,11.5,15.5,3,257,1
37,AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,9.8,6.5,8.4,3,259,1
38,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,11.8,8.8,10.5,3,272,9
39,AUDI,Q5,SUV - SMALL,2.0,4,12.0,8.5,10.4,3,1409,11
40,AUDI,Q5,SUV - SMALL,3.0,6,12.9,9.2,11.2,3,1409,11
41,AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,10.2,7.8,9.0,3,1414,11
42,AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,9.9,8.3,9.2,3,1410,11
43,AUDI,Q7,SUV - STANDARD,3.0,6,15.1,10.9,13.2,3,1432,12
44,AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,12.4,8.7,10.7,3,1433,12
45,AUDI,R8,TWO-SEATER,4.2,8,17.6,11.0,14.6,3,1458,13
46,AUDI,R8,TWO-SEATER,4.2,8,21.2,13.4,17.7,3,1458,13
47,AUDI,R8,TWO-SEATER,5.2,10,18.2,10.6,14.8,3,1458,13
48,AUDI,R8,TWO-SEATER,5.2,10,21.1,13.8,17.8,3,1458,13
49,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,17.6,11.0,14.6,3,1461,13
50,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,21.2,13.4,17.7,3,1461,13
51,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,18.2,10.6,14.8,3,1461,13
52,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,21.1,13.8,17.8,3,1461,13
53,AUDI,RS 5,SUBCOMPACT,4.2,8,15.3,10.9,13.3,3,1518,10
54,AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,15.2,11.3,13.4,3,1519,10
55,AUDI,RS 7,MID-SIZE,4.0,8,15.5,8.8,12.5,3,1522,2
56,AUDI,S4,COMPACT,3.0,6,13.2,9.2,11.4,3,1580,0
57,AUDI,S4,COMPACT,3.0,6,14.6,9.8,12.4,3,1580,0
58,AUDI,S5,SUBCOMPACT,3.0,6,13.2,9.2,11.4,3,1582,10
59,AUDI,S5,SUBCOMPACT,3.0,6,14.6,9.8,12.4,3,1582,10
60,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,13.3,9.5,11.6,3,1583,10
61,AUDI,S6,MID-SIZE,4.0,8,14.2,9.7,12.2,3,1589,2
62,AUDI,S7,MID-SIZE,4.0,8,14.2,9.7,12.2,3,1606,2
63,AUDI,S8,MID-SIZE,4.0,8,15.8,9.2,12.8,3,1608,2
64,AUDI,SQ5,SUV - SMALL,3.0,6,14.9,10.1,12.7,3,1690,11
65,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,10.4,7.6,9.1,3,1804,10
66,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,10.4,7.6,9.1,3,1806,13
67,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,11.5,8.8,10.3,3,1811,10
68,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,11.5,8.8,10.3,3,1813,13
69,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,16.3,9.8,13.4,4,525,10
70,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,18.8,11.5,15.5,4,525,10
71,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,17.4,10.2,14.2,4,529,10
72,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,20.0,12.2,16.5,4,529,10
73,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,20.0,12.2,16.5,4,527,10
74,BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,20.3,11.9,16.5,4,904,2
75,BENTLEY,MULSANNE,MID-SIZE,6.8,8,22.3,14.9,19.0,4,1261,2
76,BMW,320i,COMPACT,2.0,4,10.0,6.5,8.4,5,54,0
77,BMW,320i,COMPACT,2.0,4,10.4,6.7,8.7,5,54,0
78,BMW,320i xDRIVE,COMPACT,2.0,4,10.2,7.0,8.8,5,56,0
79,BMW,328d xDRIVE,COMPACT,2.0,4,7.6,5.5,6.7,5,58,0
80,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,7.6,5.5,6.7,5,60,9
81,BMW,328i,COMPACT,2.0,4,10.0,6.5,8.4,5,61,0
82,BMW,328i,COMPACT,2.0,4,10.4,6.7,8.7,5,61,0
83,BMW,328i xDRIVE,COMPACT,2.0,4,10.6,7.2,9.1,5,63,0
84,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,10.6,7.2,9.1,5,64,1
85,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,10.6,7.2,9.1,5,66,9
86,BMW,335i,COMPACT,3.0,6,11.4,7.3,9.6,5,74,0
87,BMW,335i,COMPACT,3.0,6,11.8,7.9,10.0,5,74,0
88,BMW,335i xDRIVE,COMPACT,3.0,6,11.7,7.8,9.9,5,76,0
89,BMW,335i xDRIVE,COMPACT,3.0,6,11.9,8.3,10.3,5,76,0
90,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,11.9,8.0,10.1,5,77,1
91,BMW,428i COUPE,COMPACT,2.0,4,10.0,6.5,8.4,5,87,0
92,BMW,428i COUPE,COMPACT,2.0,4,10.4,6.7,8.7,5,87,0
93,BMW,428i xDRIVE COUPE,COMPACT,2.0,4,10.6,7.2,9.1,5,90,0
94,BMW,435i COUPE,COMPACT,3.0,6,11.4,7.3,9.6,5,100,0
95,BMW,435i COUPE,COMPACT,3.0,6,11.8,7.9,10.0,5,100,0
96,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,11.7,7.8,9.9,5,103,0
97,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,11.9,8.3,10.3,5,103,0
98,BMW,528i,MID-SIZE,2.0,4,10.2,7.0,8.8,5,135,2
99,BMW,528i xDRIVE,MID-SIZE,2.0,4,10.6,7.2,9.1,5,137,2
100,BMW,535d xDRIVE,MID-SIZE,3.0,6,9.2,6.4,7.9,5,142,2
101,BMW,535i xDRIVE,MID-SIZE,3.0,6,11.9,8.0,10.1,5,144,2
102,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,12.5,8.6,10.7,5,145,1
103,BMW,550i xDRIVE,MID-SIZE,4.4,8,14.4,9.6,12.2,5,150,2
104,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,15.0,9.8,12.7,5,151,1
105,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,11.9,8.0,10.1,5,154,0
106,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,15.0,9.8,12.7,5,158,10
107,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,14.4,9.6,12.2,5,159,0
108,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,15.0,9.8,12.7,5,160,0
109,BMW,740Li xDRIVE,FULL-SIZE,3.0,6,12.5,8.6,10.7,5,163,1
110,BMW,750i xDRIVE,FULL-SIZE,4.4,8,15.0,9.8,12.7,5,169,1
111,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,15.0,9.8,12.7,5,165,1
112,BMW,760Li,FULL-SIZE,6.0,12,18.7,11.5,15.5,5,174,1
113,BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,9.2,7.1,8.3,5,269,0
114,BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,10.5,7.9,9.3,5,270,2
115,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,10.5,7.6,9.2,5,271,1
116,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,15.0,9.8,12.7,5,275,1
117,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,15.0,9.8,12.7,5,276,1
118,BMW,M5,MID-SIZE,4.4,8,17.3,11.5,14.7,5,1186,2
119,BMW,M5,MID-SIZE,4.4,8,16.2,10.9,13.8,5,1186,2
120,BMW,M6,COMPACT,4.4,8,17.3,11.5,14.7,5,1193,0
121,BMW,M6,COMPACT,4.4,8,16.2,10.9,13.8,5,1193,0
122,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,17.3,11.5,14.7,5,1194,10
123,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,16.2,10.9,13.8,5,1194,10
124,BMW,M6 GRAN COUPE,COMPACT,4.4,8,17.3,11.5,14.7,5,1196,0
125,BMW,M6 GRAN COUPE,COMPACT,4.4,8,16.2,10.9,13.8,5,1196,0
126,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,10.6,7.2,9.1,5,1913,11
127,BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,13.2,8.9,11.3,5,1914,11
128,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,11.2,8.5,10.0,5,1923,11
129,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,12.6,9.1,11.0,5,1925,11
130,BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,12.9,8.8,11.1,5,1936,12
131,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,16.3,10.9,13.9,5,1937,12
132,BMW,X6 M,SUV - STANDARD,4.4,8,18.1,13.7,16.1,5,1940,12
133,BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,13.6,9.8,11.9,5,1942,12
134,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,16.4,11.3,14.1,5,1943,12
135,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,10.8,7.1,9.1,5,2044,13
136,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,10.4,6.7,8.7,5,2044,13
137,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,13.7,10.1,12.1,5,2045,13
138,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,12.7,9.0,11.0,5,2045,13
139,BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,13.7,10.1,12.1,5,2046,13
140,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,14.3,9.9,12.3,7,766,12
141,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,14.6,10.2,12.6,7,767,12
142,BUICK,ENCORE,SUV - SMALL,1.4,4,9.5,7.2,8.5,7,768,11
143,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,10.2,8.0,9.2,7,772,11
144,BUICK,LACROSSE,MID-SIZE,3.6,6,13.7,8.7,11.5,7,1123,2
145,BUICK,LACROSSE,MID-SIZE,3.6,6,18.4,12.2,15.6,7,1123,2
146,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,13.7,8.9,11.5,7,1124,2
147,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,19.4,13.0,16.5,7,1124,2
148,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,9.6,6.5,8.2,7,1127,2
149,BUICK,REGAL,MID-SIZE,2.0,4,11.5,7.9,9.9,7,1501,2
150,BUICK,REGAL,MID-SIZE,2.0,4,11.6,7.5,9.8,7,1501,2
151,BUICK,REGAL AWD,MID-SIZE,2.0,4,12.3,8.7,10.7,7,1502,2
152,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,9.6,6.5,8.2,7,1503,2
153,BUICK,VERANO,COMPACT,2.0,4,11.5,7.9,9.9,7,1879,0
154,BUICK,VERANO,COMPACT,2.0,4,11.6,7.5,9.8,7,1879,0
155,BUICK,VERANO,COMPACT,2.4,4,11.3,7.4,9.5,7,1879,0
156,CADILLAC,ATS,COMPACT,2.0,4,11.3,7.5,9.6,8,360,0
157,CADILLAC,ATS,COMPACT,2.0,4,12.1,7.9,10.2,8,360,0
158,CADILLAC,ATS,COMPACT,2.5,4,10.5,7.2,9.0,8,360,0
159,CADILLAC,ATS,COMPACT,3.6,6,12.8,8.5,10.9,8,360,0
160,CADILLAC,ATS AWD,COMPACT,2.0,4,11.8,8.1,10.1,8,361,0
161,CADILLAC,ATS AWD,COMPACT,3.6,6,13.1,9.0,11.3,8,361,0
162,CADILLAC,CTS COUPE,MID-SIZE,3.6,6,13.2,8.7,11.2,8,585,2
163,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,13.3,9.0,11.4,8,586,2
164,CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,11.9,7.9,10.1,8,587,2
165,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,12.9,8.2,10.8,8,587,2
166,CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,12.6,8.5,10.8,8,588,2
167,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,13.1,9.0,11.3,8,588,2
168,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,15.1,9.9,12.8,8,589,2
169,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,12.7,8.9,11.0,8,590,9
170,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,13.3,8.9,11.3,8,590,9
171,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,12.8,9.1,11.1,8,591,9
172,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,13.3,9.0,11.4,8,591,9
173,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,19.7,12.9,16.6,8,594,2
174,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,16.7,12.5,14.8,8,594,2
175,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,19.7,12.9,16.6,8,595,2
176,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,16.7,12.5,14.8,8,595,2
177,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,19.7,12.9,16.6,8,596,9
178,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,16.7,12.5,14.8,8,596,9
179,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,17.0,11.8,14.7,8,789,12
180,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,23.3,16.1,20.1,8,789,12
181,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,18.8,13.4,16.4,8,791,12
182,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,25.7,17.8,22.1,8,791,12
183,CADILLAC,SRX,SUV - STANDARD,3.6,6,14.3,9.8,12.3,8,1692,12
184,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,14.8,10.4,12.8,8,1693,12
185,CADILLAC,XTS,FULL-SIZE,3.6,6,13.6,8.6,11.4,8,2012,1
186,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,14.0,9.1,11.8,8,2013,1
187,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,14.8,9.8,12.6,8,2014,1
188,CHEVROLET,CAMARO,COMPACT,3.6,6,13.2,8.7,11.2,9,439,0
189,CHEVROLET,CAMARO,COMPACT,3.6,6,14.2,8.6,11.7,9,439,0
190,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,12.7,7.9,10.5,9,440,0
191,CHEVROLET,CAMARO SS,COMPACT,6.2,8,15.3,9.8,12.8,9,441,0
192,CHEVROLET,CAMARO SS,COMPACT,6.2,8,15.0,9.9,12.7,9,441,0
193,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,19.7,12.9,16.6,9,443,0
194,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,16.7,12.5,14.8,9,443,0
195,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,14.9,8.5,12.0,9,556,13
196,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,13.7,8.2,11.2,9,556,13
197,CHEVROLET,CRUZE,MID-SIZE,1.4,4,9.1,6.3,7.8,9,563,2
198,CHEVROLET,CRUZE,MID-SIZE,1.4,4,9.1,6.3,7.8,9,563,2
199,CHEVROLET,CRUZE,MID-SIZE,1.8,4,10.5,6.7,8.8,9,563,2
200,CHEVROLET,CRUZE,MID-SIZE,1.8,4,9.5,6.5,8.2,9,563,2
201,CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,8.7,5.1,7.1,9,564,2
202,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,9.1,6.0,7.7,9,565,2
203,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,8.4,5.6,7.1,9,565,2
204,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,10.5,7.3,9.1,9,780,11
205,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,13.9,9.6,12.0,9,780,11
206,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,18.8,13.1,16.2,9,780,11
207,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,11.5,8.2,10.0,9,781,11
208,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,14.8,9.9,12.6,9,781,11
209,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,19.8,13.6,17.0,9,781,11
210,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,17.1,12.7,15.1,9,804,14
211,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,18.0,13.4,15.9,9,804,14
212,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,23.5,17.7,20.9,9,804,14
213,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,18.3,14.2,16.5,9,805,14
214,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,23.7,18.8,21.5,9,805,14
215,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,18.6,13.9,16.5,9,806,14
216,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,23.9,18.5,21.5,9,806,14
217,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,18.3,14.2,16.5,9,807,14
218,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,25.3,19.3,22.6,9,807,14
219,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,18.6,13.9,16.5,9,808,15
220,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,23.9,18.5,21.5,9,808,15
221,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,18.3,14.2,16.5,9,809,15
222,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,25.3,19.3,22.6,9,809,15
223,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,21.1,14.2,18.0,9,810,15
224,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,21.9,15.0,18.8,9,810,15
225,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,30.0,20.4,25.7,9,810,15
226,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,21.3,14.3,18.2,9,812,15
227,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,22.1,15.0,18.9,9,812,15
228,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,30.2,20.5,25.8,9,812,15
229,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,11.3,7.5,9.6,9,1059,1
230,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,12.6,8.2,10.6,9,1059,1
231,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,16.7,11.3,14.3,9,1059,1
232,CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,10.0,7.0,8.7,9,1061,1
233,CHEVROLET,MALIBU,MID-SIZE,2.0,4,11.5,7.9,9.9,9,1215,2
234,CHEVROLET,MALIBU,MID-SIZE,2.5,4,9.3,6.4,8.0,9,1215,2
235,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,12.2,8.6,10.6,9,1331,11
236,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,11.8,8.3,10.2,9,1331,11
237,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,13.4,9.9,11.8,9,1651,6
238,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,18.9,14.2,16.8,9,1651,6
239,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,14.6,10.3,12.7,9,1651,6
240,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,19.5,13.7,16.9,9,1651,6
241,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,16.3,11.4,14.1,9,1651,6
242,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,14.2,10.6,12.6,9,1652,6
243,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,20.0,15.1,17.8,9,1652,6
244,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,14.9,10.6,13.0,9,1652,6
245,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,19.9,14.2,17.3,9,1652,6
246,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,16.4,11.7,14.3,9,1652,6
247,CHEVROLET,SONIC,COMPACT,1.4,4,9.1,6.7,8.0,9,1675,0
248,CHEVROLET,SONIC,COMPACT,1.4,4,8.5,6.2,7.5,9,1675,0
249,CHEVROLET,SONIC,COMPACT,1.8,4,9.6,6.6,8.3,9,1675,0
250,CHEVROLET,SONIC,COMPACT,1.8,4,8.9,6.7,7.9,9,1675,0
251,CHEVROLET,SONIC RS,COMPACT,1.4,4,9.4,7.0,8.3,9,1678,0
252,CHEVROLET,SONIC RS,COMPACT,1.4,4,8.8,7.0,8.0,9,1678,0
253,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,9.1,6.7,8.0,9,1676,2
254,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,8.5,6.2,7.5,9,1676,2
255,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,9.6,6.6,8.3,9,1676,2
256,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,8.9,6.7,7.9,9,1676,2
257,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,9.4,7.0,8.3,9,1677,2
258,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,8.8,7.0,8.0,9,1677,2
259,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,7.7,6.0,6.9,9,1687,10
260,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,7.6,6.0,6.9,9,1687,10
261,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,16.0,11.1,13.8,9,1697,12
262,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,21.5,14.6,18.4,9,1697,12
263,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,16.0,11.1,13.8,9,1698,12
264,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,21.5,14.6,18.4,9,1698,12
265,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,16.0,11.1,13.8,9,1762,12
266,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,21.5,14.6,18.4,9,1762,12
267,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,16.0,11.1,13.8,9,1763,12
268,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,21.5,14.6,18.4,9,1763,12
269,CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,14.3,9.9,12.3,9,1797,12
270,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,14.6,10.2,12.6,9,1798,12
271,CHEVROLET,TRAX,SUV - SMALL,1.4,4,9.4,7.1,8.4,9,1799,11
272,CHEVROLET,TRAX,SUV - SMALL,1.4,4,9.1,6.8,8.1,9,1799,11
